Characteristic,All (n=278),Training (n=194),Test (n=84),p,Test
Age (years),54.71 ± 12.43,54.94 ± 12.46,54.17 ± 12.43,0.586,Mann-Whitney U
Lymph nodes examined,12.97 ± 4.89,12.77 ± 4.55,13.42 ± 5.60,0.584,Mann-Whitney U
Positive lymph nodes,2.46 ± 3.71,2.54 ± 3.94,2.27 ± 3.13,0.836,Mann-Whitney U
T category,,,,0.449,chi-square
  T1,88 (31.7),57 (29.4),31 (36.9),,
  T2,174 (62.6),125 (64.4),49 (58.3),,
  T3,16 (5.8),12 (6.2),4 (4.8),,
N category,,,,0.986,chi-square
  N0,127 (45.7),89 (45.9),38 (45.2),,
  N1,66 (23.7),45 (23.2),21 (25.0),,
  N2,69 (24.8),49 (25.3),20 (23.8),,
  N3,16 (5.8),11 (5.7),5 (6.0),,
AJCC stage (6th ed.),,,,0.985,chi-square
  I,43 (15.5),30 (15.5),13 (15.5),,
  II,147 (52.9),102 (52.6),45 (53.6),,
  III,88 (31.7),62 (32.0),26 (31.0),,
Histological grade,,,,0.154,chi-square
  G1,3 (1.1),1 (0.5),2 (2.4),,
  G2,209 (75.7),152 (78.4),57 (69.5),,
  G3,64 (23.2),41 (21.1),23 (28.0),,
  Missing,2,0,2,,
ER status,,,,1.000,chi-square
  Positive,181 (68.6),128 (68.8),53 (67.9),,
  Negative,83 (31.4),58 (31.2),25 (32.1),,
  Missing,14,8,6,,
PR status,,,,0.169,chi-square
  Positive,148 (55.8),110 (58.8),38 (48.7),,
  Negative,117 (44.2),77 (41.2),40 (51.3),,
  Missing,13,7,6,,
HER2 status,,,,0.134,chi-square
  Positive,63 (24.0),50 (26.7),13 (17.1),,
  Negative,200 (76.0),137 (73.3),63 (82.9),,
  Missing,15,7,8,,
Surrogate subtype,,,,0.359,chi-square
  HR+/HER2-,152 (58.0),105 (56.5),47 (61.8),,
  HR+/HER2+,38 (14.5),31 (16.7),7 (9.2),,
  HR-/HER2+,25 (9.5),19 (10.2),6 (7.9),,
  Triple-negative,47 (17.9),31 (16.7),16 (21.1),,
  Missing,16,8,8,,
TMA set,,,,1.000,chi-square
  Set A (2001-2003 surgery),144 (51.8),100 (51.5),44 (52.4),,
  Set B (2005-2007 surgery),134 (48.2),94 (48.5),40 (47.6),,
Overall-survival event,,,,0.005,chi-square
  Died,65 (23.4),55 (28.4),10 (11.9),,
  Alive/censored,213 (76.6),139 (71.6),74 (88.1),,
Follow-up (months),108.00 ± 33.96,105.89 ± 35.70,112.88 ± 29.17,0.360,Mann-Whitney U
