Cohort,Horizon,Model,AUC,95% CI,events,n
train,5-year,Clinical,0.66,0.546-0.769,28,193
train,5-year,Pathomics,0.963,0.903-0.997,28,193
train,5-year,Combined,0.975,0.938-0.997,28,193
train,7-year,Clinical,0.714,0.624-0.794,42,190
train,7-year,Pathomics,0.824,0.732-0.905,42,190
train,7-year,Combined,0.902,0.847-0.949,42,190
train,9-year,Clinical,0.722,0.640-0.803,52,186
train,9-year,Pathomics,0.766,0.679-0.848,52,186
train,9-year,Combined,0.857,0.796-0.912,52,186
test,5-year,Clinical,0.778,0.547-0.966,4,81
test,5-year,Pathomics,0.753,0.588-0.883,4,81
test,5-year,Combined,0.769,0.578-0.950,4,81
test,7-year,Clinical,0.827,0.683-0.944,7,80
test,7-year,Pathomics,0.765,0.630-0.898,7,80
test,7-year,Combined,0.84,0.709-0.947,7,80
test,9-year,Clinical,0.861,0.729-0.959,8,73
test,9-year,Pathomics,0.754,0.625-0.876,8,73
test,9-year,Combined,0.863,0.748-0.958,8,73
