Backbone,Branch,Selection,IDF,n_after_corr,n_after_uni,n_selected,Selected features,Pathomics C train,Pathomics C test,Pathomics test 95% CI,Combined C train,Combined C test,Combined test 95% CI
ResNet50,PLH+BoW,k=3,allIDF,96,80,3,"BoW_prob_0.50, BoW_prob_0.58, BoW_pred_1",0.766,0.764,0.647-0.867,0.833,0.837,0.733-0.931
ResNet50,PLH only,k=3,allIDF,92,72,3,"PLH_prob_0.50, PLH_prob_0.58, PLH_pred_1",0.766,0.747,0.627-0.856,0.834,0.824,0.707-0.927
ResNet50,BoW only,k=3,allIDF,95,79,3,"BoW_prob_0.50, BoW_prob_0.58, BoW_pred_1",0.766,0.764,0.652-0.871,0.833,0.837,0.734-0.930
ResNet50,PLH+BoW,CV,allIDF,96,80,42,"BoW_prob_0.02, BoW_prob_0.03, BoW_prob_0.05, BoW_prob_0.31, BoW_prob_0.32, BoW_prob_0.36, BoW_prob_0.37, BoW_prob_0.38, BoW_prob_0.40, BoW_prob_0.42, BoW_prob_0.43, BoW_prob_0.44, BoW_prob_0.45, BoW_prob_0.47, BoW_prob_0.48, BoW_prob_0.49, BoW_prob_0.50, BoW_prob_0.51, BoW_prob_0.52, BoW_prob_0.53, BoW_prob_0.54, BoW_prob_0.55, BoW_prob_0.57, BoW_prob_0.58, BoW_prob_0.60, BoW_prob_0.61, BoW_prob_0.62, BoW_prob_0.63, BoW_prob_0.64, BoW_prob_0.65, BoW_prob_0.66, BoW_prob_0.68, BoW_prob_0.69, BoW_prob_0.71, BoW_prob_0.72, BoW_prob_0.75, BoW_prob_0.77, BoW_prob_0.78, BoW_prob_0.79, BoW_prob_0.82, BoW_prob_0.85, BoW_pred_1",0.793,0.699,0.577-0.821,0.839,0.766,0.659-0.864
ResNet50,PLH only,CV,allIDF,92,72,1,PLH_pred_1,0.76,0.669,0.524-0.817,0.816,0.797,0.671-0.914
ResNet50,BoW only,CV,allIDF,95,79,42,"BoW_prob_0.02, BoW_prob_0.03, BoW_prob_0.05, BoW_prob_0.31, BoW_prob_0.32, BoW_prob_0.36, BoW_prob_0.37, BoW_prob_0.38, BoW_prob_0.40, BoW_prob_0.42, BoW_prob_0.43, BoW_prob_0.44, BoW_prob_0.45, BoW_prob_0.47, BoW_prob_0.48, BoW_prob_0.49, BoW_prob_0.50, BoW_prob_0.51, BoW_prob_0.52, BoW_prob_0.53, BoW_prob_0.54, BoW_prob_0.55, BoW_prob_0.57, BoW_prob_0.58, BoW_prob_0.60, BoW_prob_0.61, BoW_prob_0.62, BoW_prob_0.63, BoW_prob_0.64, BoW_prob_0.65, BoW_prob_0.66, BoW_prob_0.68, BoW_prob_0.69, BoW_prob_0.71, BoW_prob_0.72, BoW_prob_0.75, BoW_prob_0.77, BoW_prob_0.78, BoW_prob_0.79, BoW_prob_0.82, BoW_prob_0.85, BoW_pred_1",0.793,0.699,0.579-0.820,0.839,0.766,0.663-0.859
ResNet50,PLH+BoW,k=3,trainIDF,96,79,3,"BoW_prob_0.50, BoW_prob_0.58, BoW_pred_1",0.767,0.765,0.653-0.872,0.834,0.837,0.729-0.932
ResNet50,PLH only,k=3,trainIDF,92,72,3,"PLH_prob_0.50, PLH_prob_0.58, PLH_pred_1",0.766,0.747,0.634-0.859,0.834,0.824,0.715-0.927
ResNet50,BoW only,k=3,trainIDF,96,79,3,"BoW_prob_0.50, BoW_prob_0.58, BoW_pred_1",0.767,0.765,0.647-0.869,0.834,0.837,0.735-0.931
ResNet50,PLH+BoW,CV,trainIDF,96,79,43,"BoW_prob_0.02, BoW_prob_0.03, BoW_prob_0.05, BoW_prob_0.31, BoW_prob_0.32, BoW_prob_0.36, BoW_prob_0.37, BoW_prob_0.38, BoW_prob_0.40, BoW_prob_0.42, BoW_prob_0.43, BoW_prob_0.44, BoW_prob_0.45, BoW_prob_0.47, BoW_prob_0.48, BoW_prob_0.49, BoW_prob_0.50, BoW_prob_0.51, BoW_prob_0.52, BoW_prob_0.53, BoW_prob_0.54, BoW_prob_0.55, BoW_prob_0.57, BoW_prob_0.58, BoW_prob_0.60, BoW_prob_0.61, BoW_prob_0.62, BoW_prob_0.63, BoW_prob_0.64, BoW_prob_0.65, BoW_prob_0.66, BoW_prob_0.68, BoW_prob_0.69, BoW_prob_0.71, BoW_prob_0.72, BoW_prob_0.75, BoW_prob_0.77, BoW_prob_0.78, BoW_prob_0.79, BoW_prob_0.82, BoW_prob_0.85, BoW_prob_0.91, BoW_pred_1",0.798,0.709,0.578-0.824,0.841,0.777,0.671-0.873
